POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1991,1,-7.8,-20.12,-13.96,1.35,5.87,97.96,63.03,0,63.03,182.1,0.26,19.77,0,19.77,2.51,-37.12
425023,1991,2,-4.08,-14.08,-9.08,1.65,10.39,96.23,45.47,0,45.47,290.94,0.62,15.82,0,15.82,3.32,-27.42
425023,1991,3,0.84,-7.84,-3.5,1.45,13.83,89.97,98.68,30.88,67.8,428.73,10.97,29.17,14.84,29.17,2.98,-20.95
425023,1991,4,11.93,1.9,6.91,0.72,16.75,84.78,127.53,127.53,0,502.43,21.73,26.62,26.62,0,1.72,-4.24
425023,1991,5,19.82,8.22,14.02,0.39,19.76,79.04,85.27,85.27,0,612.6,26.06,21.53,21.53,0,0.62,-0.11
425023,1991,6,23.23,11.68,17.45,0.33,23.42,76.88,23.74,23.74,0,702.51,28.69,8.91,8.91,0,0.52,7.17
425023,1991,7,25.13,14.32,19.72,0.31,22.23,76.88,61.17,61.17,0,689.14,30.1,17.79,17.79,0,0.41,8.93
425023,1991,8,25.59,14.35,19.97,0.31,17.93,76.8,99.26,99.26,0,555.9,30.44,27.83,27.83,0,0.45,8.87
425023,1991,9,18.45,7.43,12.94,0.34,13.43,73.9,67.94,67.94,0,402.92,27.01,20.75,20.75,0,0.48,-2.58
425023,1991,10,13.53,3.29,8.41,0.28,8.74,83.02,97.75,97.75,0,271,24.98,26.89,26.89,0,0.41,-4
425023,1991,11,5,-2.59,1.2,0.47,5.84,80.41,43.16,35.27,7.89,175.35,16.19,14.67,14.67,2.95,1.12,-7.1
425023,1991,12,-3.94,-12.89,-8.41,0.81,4.67,91.69,72.45,1.94,70.51,144.72,7.5,16.93,1.94,16.93,1.18,-26.69
570007,1991,1,-1.91,-8.67,-5.29,4.76,7.16,87.53,28.07,3.22,24.85,222.06,2.72,10.18,3.22,10.18,9.27,-16.38
570007,1991,2,2.09,-4.83,-1.37,4.42,9.63,82.34,19.25,3.3,15.95,269.68,9.36,7.25,1.67,7.25,8.8,-13.26
570007,1991,3,7.34,-1.4,2.97,4.79,12.79,78.53,37.64,34.99,2.65,396.45,17.1,9.61,9.61,1.37,9.46,-6.88
570007,1991,4,13.98,4.09,9.03,4.5,15.54,78.46,60.23,60.23,0,466.18,22.56,18.09,18.09,0,7.87,-4.02
570007,1991,5,22.14,11.73,16.93,3.11,20.01,76.48,77.7,77.7,0,620.44,28.35,21.33,21.33,0,6.02,1.53
570007,1991,6,25.85,15,20.43,2.76,24.36,70.51,35.89,35.89,0,730.73,30.01,13.35,13.35,0,5.1,8.94
570007,1991,7,27.55,17.27,22.41,2.66,22.96,67.72,33.14,33.14,0,711.68,32.97,12.82,12.82,0,4.06,12.8
570007,1991,8,26.84,16.3,21.57,2.59,19.38,71.01,76.55,76.55,0,600.92,32.15,27.36,27.36,0,4.85,11.33
570007,1991,9,22.12,11.58,16.85,3,14.75,67.73,20.75,20.75,0,442.58,30.51,9.38,9.38,0,5.25,1.65
570007,1991,10,15.75,7.32,11.54,3.7,9.73,74.08,95.69,95.69,0,301.7,24.8,22.31,22.31,0,6.71,-0.66
570007,1991,11,6.14,-0.4,2.87,4.29,6.29,79.26,54.02,54.02,0,188.67,15.54,18.4,18.4,0,8.3,-6.2
570007,1991,12,2.43,-4.13,-0.85,4.51,5.67,84.81,36.45,16.16,20.29,175.73,11.12,10.74,10.74,3.93,7.72,-9.69
692009,1991,1,-8.45,-17.03,-12.74,3.27,3.35,91.04,11.09,0.51,10.58,103.95,2.26,5.41,0.51,5.41,6.96,-35.78
692009,1991,2,2.12,-6.23,-2.06,3.1,7.05,83.3,25.36,6.74,18.62,197.27,6.48,12.03,4.14,12.03,6.07,-19.29
692009,1991,3,1.24,-8.77,-3.77,2.61,12.76,76.77,22.72,2.26,20.46,395.64,16.01,9.49,2.26,9.49,5.11,-23.83
692009,1991,4,10.82,-0.43,5.19,2.66,17.11,71.6,63.3,59.51,3.79,513.4,19.31,23.06,23.06,3.79,5.46,-4.45
692009,1991,5,15.42,3.35,9.39,2.6,20.99,69.44,100.72,100.72,0,650.84,22.9,39.56,39.56,0,7.22,-3.91
692009,1991,6,17.56,7.48,12.52,2.24,20.81,74.45,105.84,105.84,0,624.22,22.27,28.76,28.76,0,5.07,2.98
692009,1991,7,22.18,10.29,16.24,2.1,23.6,68.2,79.44,79.44,0,731.74,27.27,30.35,30.35,0,4.18,5.39
692009,1991,8,24.06,11.89,17.98,1.9,18.76,69.23,103.5,103.5,0,581.41,31.23,34.93,34.93,0,3.28,6.69
692009,1991,9,18.05,4.92,11.49,2.52,12.82,67.04,27.11,27.11,0,384.51,24.3,14.97,14.97,0,4.26,-0.75
692009,1991,10,6.59,-5.19,0.7,2.72,7.71,76.62,60,9.79,50.21,239.09,22.37,23.32,5.01,23.32,5.71,-22.93
692009,1991,11,-0.72,-9.75,-5.23,2.39,4.68,88.92,17.5,0.91,16.59,140.55,4.15,8.1,0.91,8.1,4.73,-19.35
692009,1991,12,-2.61,-11.26,-6.94,2.76,2.49,86.99,16.41,0,16.41,77.13,1.76,6.46,0,6.46,5.3,-18.35
727006,1991,1,-9.43,-17.83,-13.63,3.91,3.45,93.35,12.88,0,12.88,107.08,2.38,6.16,0,6.16,8.27,-36.4
727006,1991,2,1.72,-6.45,-2.36,3.48,6.94,83.87,22.94,1.52,21.42,194.43,7.23,10.29,1.52,10.29,6.89,-19.72
727006,1991,3,1.11,-9.01,-3.95,2.75,12.78,76.51,30.39,14.57,15.82,396.14,15.75,12.77,12.77,4.85,5.56,-24.29
727006,1991,4,11.4,-0.16,5.62,2.74,17.81,70.38,66.54,66.54,0,534.16,19.87,22.22,22.22,0,4.89,-4.46
727006,1991,5,16.45,3.71,10.08,2.74,21,67.59,119.19,119.19,0,651,23.76,44.97,44.97,0,6.29,-3.79
727006,1991,6,18.05,8.44,13.24,2.48,20.52,73.9,104.47,104.47,0,615.65,22.76,35.23,35.23,0,5.87,4.3
