POLYID,Year,Month,Day,Julian,Tmax,Tmin,Tmean,Precip,Rain,Snow,WindSpeed,Rad,RH
425023,2009,1,1,1,-13.92,-22.77,-18.34,0,0,0,0.98,7.37,83.06
425023,2009,1,2,2,-11.74,-17.38,-14.56,1.92,0,1.92,0.91,3.04,91.25
425023,2009,1,3,3,-10.24,-16.32,-13.28,0,0,0,1.58,7.42,85.44
425023,2009,1,4,4,-8.95,-17.17,-13.06,1.68,0,1.68,0.8,6.46,83.75
425023,2009,1,5,5,-2.83,-10.27,-6.55,0,0,0,1.1,5.69,90.56
425023,2009,1,6,6,-3.48,-11.13,-7.31,1.59,0,1.59,0.95,7.13,90.12
425023,2009,1,7,7,-8.14,-11,-9.57,16.16,0,16.16,1.88,0.87,95.38
425023,2009,1,8,8,-10.59,-15.2,-12.89,3.06,0,3.06,1.51,4.46,95.69
425023,2009,1,9,9,-13.73,-23.31,-18.52,0,0,0,1.3,7.13,95.94
425023,2009,1,10,10,-14.36,-26.47,-20.41,1.53,0,1.53,0.83,7.74,96.81
425023,2009,1,11,11,-9.81,-17.4,-13.61,0,0,0,0.73,7.93,96.88
425023,2009,1,12,12,-5.13,-15.45,-10.29,0,0,0,0.94,7.46,98.31
425023,2009,1,13,13,-0.5,-17.32,-8.91,3.59,0,3.59,1.84,2.42,98.5
425023,2009,1,14,14,-18.85,-25.92,-22.39,0,0,0,1.48,8.22,95.5
425023,2009,1,15,15,-21.42,-31.44,-26.43,0,0,0,0.81,7.99,94.69
425023,2009,1,16,16,-19.92,-32.22,-26.07,0,0,0,0.88,7.37,96.75
425023,2009,1,17,17,-11.75,-27.13,-19.44,0,0,0,0.84,6.23,98.75
425023,2009,1,18,18,-9.44,-15.34,-12.39,2.95,0,2.95,1.88,4.56,99.25
425023,2009,1,19,19,-9.76,-13,-11.38,2.66,0,2.66,0.81,4.86,97.25
425023,2009,1,20,20,-11.26,-21.83,-16.54,0,0,0,1.01,8.7,97.75
425023,2009,1,21,21,-9.22,-24.99,-17.11,0,0,0,1.27,6.53,99.12
425023,2009,1,22,22,-2.42,-14.57,-8.5,1.49,0,1.49,1.79,4.73,98
425023,2009,1,23,23,-10.63,-16.85,-13.74,2.26,0,2.26,1.52,2.48,98.69
425023,2009,1,24,24,-12.17,-24.52,-18.34,0,0,0,2.09,8.57,96
425023,2009,1,25,25,-12.24,-27.24,-19.74,0,0,0,1.44,7.88,98.44
425023,2009,1,26,26,-11.77,-28.63,-20.2,0,0,0,0.88,7.69,93.38
425023,2009,1,27,27,-10.32,-19.64,-14.98,0,0,0,0.92,9.6,95.44
425023,2009,1,28,28,-9.27,-17.06,-13.16,8.3,0,8.3,1.92,2.05,98.69
425023,2009,1,29,29,-8.92,-16.5,-12.71,2.09,0,2.09,1.21,6.38,98.88
