Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,2562,NA,NA,WHT,WHT,WHTDUR,CONT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,0,NA,NA,FAL,FAL,SUMMRF,FAL_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 2,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3864,NA,NA,WHT,WHT,WHTDUR,FAL_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3170,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 2,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,0,NA,NA,FAL,FAL,SUMMRF,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 3,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3659,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,2562,NA,NA,WHT,WHT,WHTDUR,CONT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,0,NA,NA,FAL,FAL,SUMMRF,FAL_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 2,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3864,NA,NA,WHT,WHT,WHTDUR,FAL_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 1,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3170,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 2,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,0,NA,NA,FAL,FAL,SUMMRF,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
E5,Lethbridge,49.7,-112.083333,10,Alberta,Dark Brown Chernozem,Orthic,loam,46,31,NA,NA,NA,Field 3,NA,NA,N0P0,1,108,1993,1912,2019,RT,NA,3659,NA,NA,WHT,WHT,WHTDUR,FAL_WHT_WHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E5_N0P0_RT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,5,828001,828,828001,AB,AB_1
