params,main,interactions,driver,value,gsa_sample_n
f1,0.9574096001347224,0.9899762873104948,location_name,"Ellerslie,Harrow",100
f2,0.005593973870017529,0.024678578107499294,location_name,"Ellerslie,Harrow",100
f3,0.04057331742807483,0.07466473658942152,location_name,"Ellerslie,Harrow",100
f5,0.002038529355242097,0.0249318322634291,location_name,"Ellerslie,Harrow",100
f6,0.02908524524214745,0.05783974522772806,location_name,"Ellerslie,Harrow",100
f7,0.002671374532275943,0.025950348431674763,location_name,"Ellerslie,Harrow",100
f8,0.0012781850724248136,0.0233490606779313,location_name,"Ellerslie,Harrow",100
k10,0.0011933021676637668,0.02296405521959366,location_name,"Ellerslie,Harrow",100
k20,0.0011933021676637668,0.02296405521959366,location_name,"Ellerslie,Harrow",100
k30,0.0012456654742356115,0.022533208021177087,location_name,"Ellerslie,Harrow",100
k40,0.03720747857240459,0.05128865532247717,location_name,"Ellerslie,Harrow",100
k50,0.0012059609357354694,0.023026672725914188,location_name,"Ellerslie,Harrow",100
plig,0.0011933021676637668,0.02296405521959366,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.029758247130325533,0.0442772964322562,location_name,"Ellerslie,Harrow",100
tillfac_RT,0.0011933021676637668,0.02296405521959366,location_name,"Ellerslie,Harrow",100
tmax,0.0545397192995342,0.07201135621296062,location_name,"Ellerslie,Harrow",100
topt,0.05202827229854427,0.08861966670134991,location_name,"Ellerslie,Harrow",100
wfac_irri,0.0011933021676637668,0.02296405521959366,location_name,"Ellerslie,Harrow",100
