parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.307057591632125,0.4087285319797229,0.521696243477054,0.5829780107084662,0.6381316012167373,0.5797936476050154,0.4872389472997748,location_name,"Ellerslie,Harrow",4,3
f2,0.17064899554036966,0.2523804932022176,0.3431932683820487,0.41111179290214206,0.4722384649702261,0.40241804940731485,0.3279304346088902,location_name,"Ellerslie,Harrow",4,3
f3,0.14644184434058846,0.22447406177816448,0.31117652559769343,0.4805706717510475,0.6330254032890662,0.22989468923797762,0.36630431382024353,location_name,"Ellerslie,Harrow",4,3
f5,0.051026748647395294,0.057364882998750547,0.06440725450025639,0.06790509597514756,0.0710531533025496,0.06771939025557994,0.062044234482513276,location_name,"Ellerslie,Harrow",4,3
f6,0.02745519475542824,0.04535504278464941,0.06524376281711738,0.09357092029764318,0.11906536203011639,0.04725606056707525,0.07086938778248926,location_name,"Ellerslie,Harrow",4,3
f7,0.3907474326291005,0.4049703380801948,0.4207735663591884,0.4324815592125524,0.44301875278058,0.43119299424003404,0.41804340940876866,location_name,"Ellerslie,Harrow",4,3
f8,0.4310266259571654,0.4434926951606758,0.45734388316457625,0.47168884787417487,0.4845993161128136,0.4539381188615076,0.4576730676350417,location_name,"Ellerslie,Harrow",4,3
k10,17.26695507930417,17.884689036291093,18.571060099609895,19.287202583646284,19.931730819279036,18.378127205002553,18.590907713421622,location_name,"Ellerslie,Harrow",4,3
k20,4.446211111060926,4.7636073989281424,5.1162699410028285,5.167566805244423,5.213733983061858,5.164595141175131,4.915359489114101,location_name,"Ellerslie,Harrow",4,3
k30,6.725597947943606,7.1543444943625945,7.630729545939248,7.881786218228517,8.10773722328886,7.87116750037811,7.480510626414325,location_name,"Ellerslie,Harrow",4,3
k40,0.16133925005435013,0.19129208390286656,0.2245730104012182,0.25803390341519844,0.2881487071277807,0.22304363902430618,0.22469298807830396,location_name,"Ellerslie,Harrow",4,3
k50,0.006145489859060035,0.006228969088551821,0.0063217237879871395,0.00807468980216072,0.009652359214916943,0.006232903776021331,0.007428531331145981,location_name,"Ellerslie,Harrow",4,3
plig,2.830769354244694,3.0163758103735745,3.2226052060723305,3.6066482837777585,3.9522870537126438,3.0285263058582705,3.341147660743445,location_name,"Ellerslie,Harrow",4,3
tillfac_FT,1.6949315421772189,2.032228970772121,2.4070038914331233,2.97408071301179,3.48444985243259,2.063798489384998,2.535205158711566,location_name,"Ellerslie,Harrow",4,3
tillfac_RT,1.291285851271823,1.7465705693466589,2.2524424783186987,2.476065340160858,2.677325915818801,2.4671674646073436,2.0642764468987784,location_name,"Ellerslie,Harrow",4,3
tmax,44.068850329602725,44.56010636224528,45.10594639851479,47.157433728600154,49.003772325676984,44.549453138003855,46.10971126105869,location_name,"Ellerslie,Harrow",4,3
topt,31.07036758944532,32.51874423315283,34.12805161505006,34.39223688786849,34.63000363340508,34.385541318435344,33.23130354233086,location_name,"Ellerslie,Harrow",4,3
wfac_irri,1,1,1,1,1,0.9957585083820888,1,location_name,"Ellerslie,Harrow",4,3
