params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,driver,value,gsa_sample_n
f1,6.364865909445364,-38.1237543655112,7.891024545307865,0.08315541920814772,-0.83035048463415,10.459727005889937,location_name,"Ellerslie,Harrow",3
f2,0.05229488603512608,-0.07750641810892192,0.06762534308294618,-1.8691751085818356,-2.005482971592369,10.218134872863365,location_name,"Ellerslie,Harrow",3
f3,0.17041225586413253,-1.1283927913144185,0.2617520869313163,-3.8193935861850687,-4.131407422329923,16.514215080927336,location_name,"Ellerslie,Harrow",3
f5,2.929972751998965e-4,-0.002659557498261726,5.621001515190971e-4,-2.454795467314016,-2.636097898393733,9.368257921607324,location_name,"Ellerslie,Harrow",3
f6,0.0806201198453788,-0.15782500558246346,0.08184041594437481,-2.8873829526405115,-3.4310624509462846,4.970949207252038,location_name,"Ellerslie,Harrow",3
f7,0.0055037125897962,-0.006300953650530116,0.007277382671973828,-2.169085174340978,-2.276600808037272,9.150657663391684,location_name,"Ellerslie,Harrow",3
f8,1.334394874294195e-4,-0.0012863435913268019,2.4714445791638946e-4,-2.434515143876104,-2.579849471926918,9.557160927942503,location_name,"Ellerslie,Harrow",3
k10,0,0,0,-2.4198752891532274,-2.5811364580642033,9.307140583071163,location_name,"Ellerslie,Harrow",3
k20,0,0,0,-2.4198752891532274,-2.5811364580642033,9.307140583071163,location_name,"Ellerslie,Harrow",3
k30,6.459693641069358e-5,-6.637312806714768e-4,1.2895399709505698e-4,-2.4126671592645454,-2.5659533430469734,9.266174358766632,location_name,"Ellerslie,Harrow",3
k40,0.11985140536136404,-0.461082158586038,0.18011657727393238,-1.402656544647326,-1.402656544647326,7.779173098191807,location_name,"Ellerslie,Harrow",3
k50,2.3039601694841576e-5,-2.3744260113090507e-4,4.59134910312061e-5,-2.410085176596153,-2.576620695067076,9.202339410444768,location_name,"Ellerslie,Harrow",3
plig,0,0,0,-2.4198752891532274,-2.5811364580642033,9.307140583071163,location_name,"Ellerslie,Harrow",3
tillfac_FT,0.08942079799089785,-0.4601330455054319,0.14045299475992684,-2.4050679618093724,-2.627932134385107,13.479762315889062,location_name,"Ellerslie,Harrow",3
tillfac_RT,0,0,0,-2.4198752891532274,-2.5811364580642033,9.307140583071163,location_name,"Ellerslie,Harrow",3
tmax,0.6217057984457802,-5.9494070124091865,1.1507684587447755,-5.254432510973566,-5.256065218370983,30.984447813955825,location_name,"Ellerslie,Harrow",3
topt,0.2750279701431149,-1.8818095735827196,0.4388381084137263,-2.4868723776410837,-2.759537919298824,4.323883146128553,location_name,"Ellerslie,Harrow",3
wfac_irri,0,0,0,-2.4198752891532274,-2.5811364580642033,9.307140583071163,location_name,"Ellerslie,Harrow",3
