params,main,interactions,sensitive_parameter_cutoff,driver,value,gsa_sample_n
f1,0.9577547865830112,0.9915135358910315,0.05,location_name,"Ellerslie,Harrow",100
f2,0.005588358294023694,0.0252327224451101,0.05,location_name,"Ellerslie,Harrow",100
f3,0.040202499762310884,0.07478243613117475,0.05,location_name,"Ellerslie,Harrow",100
f5,0.0020440590848736077,0.025989459767393863,0.05,location_name,"Ellerslie,Harrow",100
f6,0.027682624527190676,0.057338947163571574,0.05,location_name,"Ellerslie,Harrow",100
f7,0.0027209437778752386,0.027090546052487063,0.05,location_name,"Ellerslie,Harrow",100
f8,0.001364233656092138,0.024526584563107856,0.05,location_name,"Ellerslie,Harrow",100
k10,0.0012807456773517491,0.024136953519197424,0.05,location_name,"Ellerslie,Harrow",100
k20,0.0012807456773517491,0.024136953519197424,0.05,location_name,"Ellerslie,Harrow",100
k30,0.0013260826479163709,0.02366820719135887,0.05,location_name,"Ellerslie,Harrow",100
k40,0.035188293462600155,0.050399155533706885,0.05,location_name,"Ellerslie,Harrow",100
k50,0.0012916281577684476,0.024194788036820625,0.05,location_name,"Ellerslie,Harrow",100
plig,0.0012807456773517491,0.024136953519197424,0.05,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.028245478439886815,0.04376566043924712,0.05,location_name,"Ellerslie,Harrow",100
tillfac_RT,0.0012807456773517491,0.024136953519197424,0.05,location_name,"Ellerslie,Harrow",100
tmax,0.052230426309298396,0.0703319813722546,0.05,location_name,"Ellerslie,Harrow",100
topt,0.05044554508908724,0.08822132689921436,0.05,location_name,"Ellerslie,Harrow",100
wfac_irri,0.0012807456773517491,0.024136953519197424,0.05,location_name,"Ellerslie,Harrow",100
