site,year,cinput_total,dfac,kA,SS_active,soc_active,kS,SS_slow,soc_slow,kP,SS_passive,soc_passive,soc_total,soc_delta,stringsAsFactors,Exp_ID,location_name,experiment_name,team_name,latitude,longitude,ecozone,province,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,total_yield,crop,perennial,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha_30cm,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,crop_residue_avg_kgha,crop_residue_kgha,hay_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,cinput_lignin_px,cinput_n_px,reference,flag,Location,POLYID,ECO_ID,...93,SL,PROVINCE,PCPTREGION
570007,2004,5231.624,0.5177369368822975,5.350575154635326,519.2220466314906,519.2220466314906,0.3285165121383029,5410.395845140044,1810.5857806028848,0.0035672074951190297,91699.70028719761,1157.0197258357052,3486.8275530700807,2599.8275530700807,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,5655.11786,NA,5655.11786,CRN,FALSE,MAZ,CORNGR,CRN-SBN,NA,NA,5231.624,NA,NA,NA,NA,88.7,88.7,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,6662.676333,5231.624,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2005,3469.935,0.5029929574407264,5.198202850361315,354.4746532324279,354.4746532324279,0.31916110332711944,3693.6956038335325,2411.601189471315,0.003465621476766605,62603.69657202172,1369.9706487897847,4136.046491493527,649.2189384234466,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,2886.346667,NA,2886.346667,SBN,FALSE,SBN,SOYBNS,CRN-SBN,NA,NA,3469.935,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,3664.4775,3469.935,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2006,6658.393217,0.5576414243129827,5.7629698357851895,613.536158292121,613.536158292121,0.353836867120771,6393.16743809767,3820.4261171190656,0.003842149413516451,108356.49640793567,1781.0288659894497,6214.991141400636,2078.944649907108,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,7371.930933,NA,7371.930933,CRN,FALSE,MAZ,CORNGR,CRN-SBN,NA,NA,6658.393217,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,7091.506425,6658.393217,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2007,3508.8575,0.5287712118848323,5.4646093551571235,340.97589641383036,340.97589641383036,0.33551802445001133,3553.03590288341,3730.7118806814533,0.003643233649886495,60219.68386966109,1993.9345403529342,6065.622317448218,-149.3688239524172,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,3229.889832,NA,3229.889832,SBN,FALSE,SBN,SOYBNS,CRN-SBN,NA,NA,3508.8575,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,3565.412917,3508.8575,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2008,6263.981599,0.5020620413898903,5.188582257473643,641.0897553622779,641.0897553622779,0.3185704147508787,6680.2813387384185,4670.357446271185,0.0034592074651763442,113222.73159490348,2378.69802546662,7690.1452271000835,1624.5229096518651,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,6118.472034,NA,6118.472034,CRN,FALSE,MAZ,CORNGR,CRN-SBN,NA,NA,6263.981599,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,6199.021718,6263.981599,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2009,3646.2,0.46664937692929914,4.822608518448427,401.4907534209895,401.4907534209895,0.2961002292466866,4183.612614802483,4526.232190088663,0.0032152142070428712,70907.2004851055,2599.0318401622235,7526.754783671876,-163.39044342820762,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,3191.878685,NA,3191.878685,SBN,FALSE,SBN,SOYBNS,CRN-SBN,NA,NA,3646.2,NA,NA,NA,NA,104.2914079,104.2914079,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,3399.822222,3646.2,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2010,5971.646194,0.5678927281643663,5.868912386494683,540.323072045214,540.323072045214,0.36034156544576634,5630.272680045767,4924.063868555317,0.003912780897052484,95426.34810337612,2962.2447899615763,8426.631730562107,899.876946890231,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,6341.353022,NA,6341.353022,CRN,FALSE,MAZ,CORNGR,CRN-SBN,NA,NA,5971.646194,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,7037.65203,5971.646194,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2011,3323.312593,0.5790107806974475,5.983812389592123,294.9241215039335,294.9241215039335,0.3673962366112672,3073.1673509791285,4244.051453640925,0.003989384279005414,52086.489248346814,3158.2202785218774,7697.195853666735,-729.4358768953716,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,3269.971366,NA,3269.971366,SBN,FALSE,SBN,SOYBNS,CRN-SBN,NA,NA,3323.312593,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,3694.53649,3323.312593,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2012,9491.034177,0.5687529944341801,5.87780284611179,857.4634012773512,857.4634012773512,0.3608874250403537,8934.937284978656,5936.933162470677,0.003918708131651501,151436.43729015213,3739.279333272139,10533.675897020168,2836.480043353433,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,10320.315,NA,10320.315,CRN,FALSE,MAZ,CORNGR,CRN-SBN,NA,NA,9491.034177,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,10723.39127,9491.034177,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
570007,2013,4720.242317,0.5256486437671158,5.432339037551586,461.4179623917073,461.4179623917073,0.3335366800376854,4808.065918604755,5560.414529748346,0.003621719155555428,81490.93270008847,4020.8739856468433,10042.706477786896,-490.96941923327176,FALSE,2,Harrow,Experiment 1,A,42.166667,-82.666667,8,Ontario,Medium,28,37,35,88.7,2004,NA,NA,F3,1 IP,1,CT,NA,2724.87744,NA,2724.87744,SBN,FALSE,SBN,SOYBNS,CRN-SBN,NA,NA,4720.242317,NA,NA,NA,NA,NA,NA,NA,0,30,0,NA,NA,50,NA,NA,0,NA,NA,NA,0,est_equation,NA,10,NA,NA,NA,NA,Brown,Intensive Tillage,Canada,0,5571.956817,4720.242317,NA,NA,NA,NA,10,10,Angers. et al. 1997,reference uncertain,2,570007,570,NA,570007,ON,ON_1
