site,year,cinput_total,dfac,kA,SS_active,soc_active,kS,SS_slow,soc_slow,kP,SS_passive,soc_passive,soc_total,soc_delta,stringsAsFactors,Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,...96,SL,PROVINCE,PCPTREGION,soc_tha_30cm
727006,1983,2002.5,0.28440562338901115,2.4120628627333476,513.4226329503504,513.4226329503504,0.14116353066442056,6162.698870902035,926.4445728780614,0.001959554745150287,76409.83324555714,1177.149428495399,2617.0166343238106,1514.916634323811,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,1983.478261,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2002.5,yes,NA,876.9152174,NA,110.21,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2002.5,NA,876.9152174,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,110.21
727006,1984,2658.25,0.3044771770161005,2.582291033767232,636.6221459046826,636.6221459046826,0.1511259615831816,7641.483503002126,1941.2612882615597,0.0020978477496409326,94744.93114858381,1373.4403888157804,3951.3238229820226,1334.307188658212,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,3516.485,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2658.25,yes,NA,1358.4417,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2658.25,NA,1358.4417,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1985,2436.91,0.2628928693693215,2.229611776050594,675.9294166897002,675.9294166897002,0.13048576601424405,8113.295335474445,2746.623878778128,0.001811331869954625,100594.81351306381,1553.16322413639,4975.716519604219,1024.3926966221961,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,3126.97,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2436.91,yes,NA,1224.0536,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2436.91,NA,1224.0536,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1986,3611.965,0.3183281208289295,2.6997618024061256,827.3879504395215,827.3879504395215,0.1580008190784536,9931.277783121555,3881.805080459599,0.0021932807525113242,123135.54421855955,1819.827520215957,6529.020551115078,1553.3040315108592,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,2725.52,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3611.965,yes,NA,1394.2467,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3611.965,NA,1394.2467,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1987,2758.91,0.3307298395167368,2.8049415971108527,608.2817926729962,608.2817926729962,0.16415635980024595,7301.30944044036,4443.138468515111,0.0022787285942703164,90527.19409225351,2021.9675329460779,7073.387794134184,544.3672430191064,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,3150.5975,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2758.91,yes,NA,1300.09165,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2758.91,NA,1300.09165,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1988,3159,0.3366478238118525,2.855132412504693,684.2494838477079,684.2494838477079,0.16709372632472028,8213.162511539202,5073.085834197794,0.0023195035060636637,101833.0428067005,2253.4796719875353,8010.814990033037,937.4271958988529,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,3508.3,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3159,yes,NA,1466.806,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3159,NA,1466.806,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1989,2934.075,0.31761783717988756,2.6937378398998804,673.6076192201728,673.6076192201728,0.1576482727874303,8085.426406982344,5547.976122544776,0.0021883868981694256,100249.27331656507,2467.9323828750435,8689.516124639993,678.7011346069557,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,2894.875,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2934.075,yes,NA,1282.369,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2934.075,NA,1282.369,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1990,3592,0.26856609922225877,2.2777268128665256,975.272100678954,975.272100678954,0.13330164970447617,11706.356299757557,6368.898359674585,0.001850420423641363,145144.31931778407,2731.943683230757,10076.114143584296,1386.5980189443035,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,4261.7,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,3592,yes,NA,1727.814,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,3592,NA,1727.814,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1991,2892.391304,0.3326783218294859,2.8214668042051114,633.9765717748867,633.9765717748867,0.16512348077143935,7609.7282283877385,6573.788506641668,0.002292153637405158,94351.20507356674,2941.9491064829895,10149.714184899545,73.60004131524875,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,2766.413043,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2892.391304,yes,NA,1244.936957,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2892.391304,NA,1244.936957,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
727006,1992,2622.625,0.28898232021338555,2.450878130562857,661.7677321408139,661.7677321408139,0.1434351548145016,7943.310235912362,6770.226067901434,0.0019910881862702265,98487.20881196519,3132.1881443366956,10564.181944378943,414.4677594793975,FALSE,E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,8,F25S,1,27,1983,2009,CT,NA,2731.75,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2622.625,yes,NA,1177.9625,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2622.625,NA,1177.9625,NA,Malhi et al. 2011b,NA,cpr,E1_F25S_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,1,727006,727,NA,727006,AB,AB_3,NA
